admin_id,project_id,department,officer_workload,active_case_count,pending_case_count,staff_available,average_processing_days,approval_backlog,historical_delay_rate,coordination_score
ADM-0000001,LG-000001,Revenue Department,Medium,35,23,11,31,0,0.08,7.9
ADM-0000002,LG-000001,Land Records Cell,Medium,39,10,2,18,6,0.15,8.0
ADM-0000003,LG-000002,Revenue Department,High,45,9,8,69,39,0.67,4.2
ADM-0000004,LG-000002,Land Records Cell,High,18,7,6,98,20,0.82,3.5
ADM-0000005,LG-000002,Environmental Cell,High,10,14,13,83,36,0.66,5.0
ADM-0000006,LG-000002,Public Works Dept,High,41,9,9,113,25,0.56,3.7
ADM-0000007,LG-000002,Irrigation Department,High,44,17,9,86,37,0.48,4.1
ADM-0000008,LG-000003,Revenue Department,Medium,33,21,11,13,7,0.2,9.6
ADM-0000009,LG-000003,Land Records Cell,Medium,12,28,14,39,10,0.21,8.0
ADM-0000010,LG-000003,Environmental Cell,Medium,11,6,9,37,6,0.18,6.9
ADM-0000011,LG-000003,Public Works Dept,Medium,38,7,3,20,9,0.09,6.9
ADM-0000012,LG-000003,Irrigation Department,Medium,49,25,11,27,5,0.16,8.5
ADM-0000013,LG-000004,Revenue Department,High,38,24,6,102,17,0.64,2.9
ADM-0000014,LG-000004,Land Records Cell,High,40,11,7,118,24,0.61,2.8
ADM-0000015,LG-000004,Environmental Cell,High,34,21,10,98,40,0.47,2.6
ADM-0000016,LG-000005,Revenue Department,Medium,50,10,14,21,8,0.12,9.8
ADM-0000017,LG-000005,Land Records Cell,Medium,18,12,14,25,0,0.16,8.4
ADM-0000018,LG-000005,Environmental Cell,Medium,39,30,10,14,9,0.32,6.7
ADM-0000019,LG-000006,Revenue Department,High,21,5,13,88,35,0.53,4.0
ADM-0000020,LG-000006,Land Records Cell,High,22,10,11,96,36,0.59,3.0
ADM-0000021,LG-000006,Environmental Cell,High,35,26,3,68,14,0.61,4.8
ADM-0000022,LG-000006,Public Works Dept,High,10,13,8,75,24,0.74,4.9
ADM-0000023,LG-000007,Revenue Department,High,24,11,15,117,25,0.52,4.8
ADM-0000024,LG-000007,Land Records Cell,High,27,22,11,49,15,0.82,2.9
ADM-0000025,LG-000008,Revenue Department,High,29,24,11,55,31,0.46,2.4
ADM-0000026,LG-000008,Land Records Cell,High,29,8,4,92,32,0.46,3.2
ADM-0000027,LG-000008,Environmental Cell,High,48,9,11,94,23,0.48,3.9
ADM-0000028,LG-000009,Revenue Department,Medium,18,27,2,15,7,0.34,8.2
ADM-0000029,LG-000009,Land Records Cell,Medium,26,10,7,14,4,0.27,6.9
ADM-0000030,LG-000010,Revenue Department,Medium,32,23,10,20,6,0.13,6.6
ADM-0000031,LG-000010,Land Records Cell,Medium,48,12,2,38,4,0.07,9.8
