compensation_id,project_id,total_estimated_amount,total_approved_amount,total_disbursed_amount,total_pending_amount,beneficiaries_total,beneficiaries_paid,beneficiaries_pending,average_processing_days,payment_status,compensation_dispute_count
COMP-000001,LG-000001,34135081290.89,34135081290.89,31967101057.67,2167980233.22,2172,2034,138,17,Partially Completed,2
COMP-000002,LG-000002,19419903964.79,16506918370.07,6932905715.43,9574012654.64,2565,1077,1488,140,In Progress,15
COMP-000003,LG-000003,4809700321.32,4809700321.32,4323958435.71,485741885.61,832,747,85,26,Partially Completed,3
COMP-000004,LG-000004,30141437556.24,27127293800.62,14920011590.34,12207282210.28,709,389,320,171,Partially Completed,11
COMP-000005,LG-000005,36344144614.36,36344144614.36,33000363928.01,3343780686.35,3880,3523,357,46,Partially Completed,1
COMP-000006,LG-000006,10119772421.78,9107795179.6,5009287348.78,4098507830.82,4522,2487,2035,78,Partially Completed,11
COMP-000007,LG-000007,25460217476.14,22914195728.53,12602807650.69,10311388077.84,4890,2689,2201,71,Partially Completed,10
COMP-000008,LG-000008,6657711831.02,5991940647.92,3295567356.36,2696373291.56,4540,2497,2043,133,Partially Completed,12
COMP-000009,LG-000009,24038087158.16,24038087158.16,23050079817.97,988007340.19,3646,3496,150,42,Partially Completed,1
COMP-000010,LG-000010,127931206.72,127931206.72,118715539.32,9215667.4,954,885,69,44,Partially Completed,2
COMP-000011,LG-000011,20104559253.0,17088875365.05,7177327653.32,9911547711.73,1915,804,1111,152,In Progress,20
COMP-000012,LG-000012,22737965782.0,19327270914.7,8117453784.17,11209817130.53,1349,566,783,140,In Progress,12
COMP-000013,LG-000013,21902638069.1,21902638069.1,20097328229.08,1805309840.02,790,724,66,46,Partially Completed,1
COMP-000014,LG-000014,28168908380.7,28168908380.7,27217223056.94,951685323.76,938,906,32,50,Partially Completed,3
COMP-000015,LG-000015,2962855814.32,2962855814.32,2635352990.55,327502823.77,4363,3880,483,20,Partially Completed,2
COMP-000016,LG-000016,26976776877.42,26976776877.42,24246192849.76,2730584027.66,3291,2957,334,44,Partially Completed,3
COMP-000017,LG-000017,5121966483.15,5121966483.15,4814583750.92,307382732.23,1270,1193,77,35,Partially Completed,2
COMP-000018,LG-000018,4851392637.32,4366253373.59,2401439355.47,1964814018.12,1287,707,580,153,Partially Completed,6
COMP-000019,LG-000019,24951929309.28,24951929309.28,21985135568.73,2966793740.55,4493,3958,535,41,Partially Completed,3
COMP-000020,LG-000020,32635615768.99,32635615768.99,30238973044.54,2396642724.45,2357,2183,174,33,Partially Completed,1
COMP-000021,LG-000021,5912846977.24,5912846977.24,5646817821.05,266029156.19,1959,1870,89,51,Partially Completed,3
COMP-000022,LG-000022,20850524577.25,20850524577.25,20029160064.53,821364512.72,1450,1392,58,29,Partially Completed,1
COMP-000023,LG-000023,8365377233.39,8365377233.39,8309107137.05,56270096.34,1829,1816,13,33,Partially Completed,0
COMP-000024,LG-000024,32699763028.98,29429786726.08,16186382699.34,13243404026.74,2969,1632,1337,144,Partially Completed,12
COMP-000025,LG-000025,30386293805.1,30386293805.1,28961785285.99,1424508519.11,2259,2153,106,33,Partially Completed,2
COMP-000026,LG-000026,43837781363.02,39454003226.72,21699701774.7,17754301452.02,1009,554,455,121,Partially Completed,8
COMP-000027,LG-000027,34921356352.23,34921356352.23,31173607711.47,3747748640.76,91,81,10,60,Partially Completed,1
COMP-000028,LG-000028,25020243681.4,25020243681.4,24317604859.34,702638822.06,162,157,5,39,Partially Completed,2
COMP-000029,LG-000029,10876392356.61,10876392356.61,10271870191.88,604522164.73,4213,3978,235,23,Partially Completed,2
COMP-000030,LG-000030,25090455791.32,25090455791.32,22874078470.66,2216377320.66,3280,2990,290,21,Partially Completed,3
COMP-000031,LG-000031,31903362897.1,27117858462.53,11389500554.26,15728357908.27,1332,559,773,102,In Progress,25
COMP-000032,LG-000032,4851966756.33,4124171742.88,1732152132.01,2392019610.87,3095,1299,1796,168,In Progress,16
COMP-000033,LG-000033,16926915293.98,14387877999.88,6042908759.95,8344969239.93,4218,1771,2447,167,In Progress,23
COMP-000034,LG-000034,6849814339.3,6849814339.3,5879752715.33,970061623.97,3206,2751,455,55,Partially Completed,2
COMP-000035,LG-000035,288263762.32,259437386.09,142690562.35,116746823.74,2587,1422,1165,177,Partially Completed,6
COMP-000036,LG-000036,15719158737.7,14147242863.93,7780983575.16,6366259288.77,3208,1764,1444,125,Partially Completed,5
