approval_id,project_id,approval_type,submission_date,approval_date,approval_status,responsible_authority,delay_days
APP-0000001,LG-000001,Administrative Approval,2019-01-15,2019-05-14,Approved,State Cabinet,9
APP-0000002,LG-000001,Environmental Clearance,2018-12-18,2019-03-06,Approved,District Collectorate,5
APP-0000003,LG-000001,Land Acquisition Approval,2019-01-14,2019-02-13,Approved,District Collectorate,9
APP-0000004,LG-000001,Financial Approval,2018-12-20,2019-04-03,Approved,Finance Ministry,10
APP-0000005,LG-000001,Government Notification,2019-01-19,2019-03-17,Approved,State Cabinet,15
APP-0000006,LG-000001,Administrative Approval,2019-02-16,,Conditionally Approved,District Collectorate,114
APP-0000007,LG-000001,Environmental Clearance,2018-12-05,2019-02-03,Approved,State Cabinet,9
APP-0000008,LG-000001,Land Acquisition Approval,2018-12-19,,Submitted,Finance Ministry,61
APP-0000009,LG-000002,Administrative Approval,2018-11-23,2019-03-09,Approved,Finance Ministry,9
APP-0000010,LG-000002,Environmental Clearance,2018-11-17,,In Review,Finance Ministry,119
APP-0000011,LG-000002,Land Acquisition Approval,2018-12-06,,In Review,MoEFCC,86
APP-0000012,LG-000003,Administrative Approval,2019-01-05,2019-04-06,Approved,District Collectorate,9
APP-0000013,LG-000003,Environmental Clearance,2018-12-29,2019-02-06,Approved,State Cabinet,4
APP-0000014,LG-000003,Land Acquisition Approval,2019-03-11,2019-05-30,Approved,MoEFCC,11
APP-0000015,LG-000003,Financial Approval,2019-02-03,,Conditionally Approved,Finance Ministry,45
APP-0000016,LG-000003,Government Notification,2019-01-31,2019-05-27,Approved,Finance Ministry,8
APP-0000017,LG-000004,Administrative Approval,2024-06-18,2024-10-05,Approved,District Collectorate,10
APP-0000018,LG-000004,Environmental Clearance,2024-04-16,,In Review,District Collectorate,86
APP-0000019,LG-000004,Land Acquisition Approval,2024-05-02,,In Review,MoEFCC,94
APP-0000020,LG-000004,Financial Approval,2024-05-06,,Submitted,District Collectorate,37
APP-0000021,LG-000004,Government Notification,2024-05-03,,Submitted,Finance Ministry,108
APP-0000022,LG-000004,Administrative Approval,2024-05-26,,Conditionally Approved,MoEFCC,144
APP-0000023,LG-000004,Environmental Clearance,2024-05-24,2024-09-04,Approved,District Collectorate,6
APP-0000024,LG-000005,Administrative Approval,2021-10-21,2021-12-13,Approved,District Collectorate,9
APP-0000025,LG-000005,Environmental Clearance,2021-10-24,,Conditionally Approved,District Collectorate,67
APP-0000026,LG-000005,Land Acquisition Approval,2021-12-07,2022-03-01,Approved,Finance Ministry,5
APP-0000027,LG-000005,Financial Approval,2021-11-24,2022-02-07,Approved,District Collectorate,13
APP-0000028,LG-000005,Government Notification,2021-12-31,2022-02-06,Approved,Finance Ministry,2
APP-0000029,LG-000005,Administrative Approval,2021-11-26,2022-03-22,Approved,MoEFCC,5
APP-0000030,LG-000006,Administrative Approval,2018-12-01,,In Review,Finance Ministry,52
APP-0000031,LG-000006,Environmental Clearance,2018-12-08,,In Review,District Collectorate,116
APP-0000032,LG-000006,Land Acquisition Approval,2018-12-18,,Submitted,District Collectorate,65
APP-0000033,LG-000006,Financial Approval,2018-10-29,2019-01-05,Approved,State Cabinet,9
APP-0000034,LG-000006,Government Notification,2018-12-28,2019-03-08,Approved,District Collectorate,15
APP-0000035,LG-000006,Administrative Approval,2018-12-11,2019-02-14,Approved,MoEFCC,9
APP-0000036,LG-000006,Environmental Clearance,2018-12-13,2019-03-01,Approved,District Collectorate,12
APP-0000037,LG-000006,Land Acquisition Approval,2018-10-19,,In Review,MoEFCC,121
APP-0000038,LG-000007,Administrative Approval,2023-09-11,,Submitted,District Collectorate,100
APP-0000039,LG-000007,Environmental Clearance,2023-07-19,,Conditionally Approved,District Collectorate,113
APP-0000040,LG-000007,Land Acquisition Approval,2023-07-22,,Conditionally Approved,Finance Ministry,142
APP-0000041,LG-000007,Financial Approval,2023-08-11,,Conditionally Approved,District Collectorate,90
APP-0000042,LG-000007,Government Notification,2023-07-09,,In Review,State Cabinet,35
APP-0000043,LG-000007,Administrative Approval,2023-07-01,,Conditionally Approved,Finance Ministry,149
APP-0000044,LG-000007,Environmental Clearance,2023-07-20,,In Review,Finance Ministry,59
APP-0000045,LG-000008,Administrative Approval,2023-08-12,,Submitted,Finance Ministry,121
APP-0000046,LG-000008,Environmental Clearance,2023-08-30,,Conditionally Approved,Finance Ministry,91
APP-0000047,LG-000008,Land Acquisition Approval,2023-09-19,,Conditionally Approved,MoEFCC,83
APP-0000048,LG-000008,Financial Approval,2023-08-28,2023-12-04,Approved,MoEFCC,2
APP-0000049,LG-000008,Government Notification,2023-08-13,2023-10-27,Approved,MoEFCC,5
APP-0000050,LG-000009,Administrative Approval,2020-01-31,,In Review,State Cabinet,39
APP-0000051,LG-000009,Environmental Clearance,2020-04-03,2020-07-29,Approved,MoEFCC,14
APP-0000052,LG-000009,Land Acquisition Approval,2020-01-20,2020-03-05,Approved,State Cabinet,13
APP-0000053,LG-000009,Financial Approval,2020-03-20,,In Review,MoEFCC,41
APP-0000054,LG-000009,Government Notification,2020-02-01,2020-04-09,Approved,Finance Ministry,4
APP-0000055,LG-000009,Administrative Approval,2020-02-05,2020-05-31,Approved,MoEFCC,4
APP-0000056,LG-000009,Environmental Clearance,2020-03-26,2020-07-12,Approved,Finance Ministry,5
APP-0000057,LG-000009,Land Acquisition Approval,2020-03-03,2020-06-21,Approved,Finance Ministry,4
APP-0000058,LG-000010,Administrative Approval,2019-02-07,2019-05-29,Approved,MoEFCC,12
APP-0000059,LG-000010,Environmental Clearance,2019-04-11,2019-07-05,Approved,State Cabinet,4
APP-0000060,LG-000010,Land Acquisition Approval,2019-03-04,2019-05-13,Approved,District Collectorate,12
APP-0000061,LG-000010,Financial Approval,2019-03-07,2019-05-05,Approved,State Cabinet,2
APP-0000062,LG-000010,Government Notification,2019-02-12,2019-05-27,Approved,State Cabinet,3
APP-0000063,LG-000010,Administrative Approval,2019-02-08,2019-05-08,Approved,Finance Ministry,10
APP-0000064,LG-000010,Environmental Clearance,2019-02-10,2019-04-07,Approved,District Collectorate,14
APP-0000065,LG-000011,Administrative Approval,2021-01-14,2021-02-23,Approved,Finance Ministry,11
APP-0000066,LG-000011,Environmental Clearance,2020-12-31,,Submitted,Finance Ministry,137
APP-0000067,LG-000011,Land Acquisition Approval,2020-12-22,,Conditionally Approved,Finance Ministry,117
APP-0000068,LG-000011,Financial Approval,2020-12-29,2021-03-29,Approved,MoEFCC,9
APP-0000069,LG-000012,Administrative Approval,2020-04-07,,Submitted,MoEFCC,76
APP-0000070,LG-000012,Environmental Clearance,2020-03-11,2020-05-12,Approved,MoEFCC,1
APP-0000071,LG-000012,Land Acquisition Approval,2020-04-16,,Submitted,MoEFCC,36
APP-0000072,LG-000013,Administrative Approval,2023-11-29,2024-02-22,Approved,State Cabinet,15
APP-0000073,LG-000013,Environmental Clearance,2024-02-19,2024-04-05,Approved,Finance Ministry,3
APP-0000074,LG-000013,Land Acquisition Approval,2024-02-15,2024-04-26,Approved,Finance Ministry,12
APP-0000075,LG-000013,Financial Approval,2024-02-08,2024-04-09,Approved,Finance Ministry,8
APP-0000076,LG-000013,Government Notification,2024-01-05,2024-04-01,Approved,State Cabinet,4
APP-0000077,LG-000013,Administrative Approval,2024-01-14,2024-04-18,Approved,District Collectorate,9
APP-0000078,LG-000013,Environmental Clearance,2024-02-01,2024-03-27,Approved,District Collectorate,6
APP-0000079,LG-000014,Administrative Approval,2022-09-17,2022-11-21,Approved,State Cabinet,4
