state,district,project_count,minimum_project_coverage_met
Andhra Pradesh,Ananthapuramu,1,True
Andhra Pradesh,Annamayya,1,True
Andhra Pradesh,Alluri Sitharama Raju,1,True
Andhra Pradesh,Anakapalli,1,True
Andhra Pradesh,Bapatla,1,True
Andhra Pradesh,Chittoor,1,True
Andhra Pradesh,East Godavari,3,True
Andhra Pradesh,Eluru,1,True
Andhra Pradesh,Guntur,2,True
Andhra Pradesh,Kakinada,1,True
Andhra Pradesh,NTR,2,True
Andhra Pradesh,Nandyal,1,True
Andhra Pradesh,Palnadu,2,True
Andhra Pradesh,Parvathipuram Manyam,1,True
Andhra Pradesh,Prakasam,1,True
Andhra Pradesh,Sri Potti Sriramulu Nellore,1,True
Andhra Pradesh,Sri Sathya Sai,1,True
Andhra Pradesh,Srikakulam,2,True
Andhra Pradesh,Tirupati,2,True
Andhra Pradesh,Visakhapatnam,2,True
Andhra Pradesh,Vizianagaram,1,True
Andhra Pradesh,West Godavari,2,True
Andhra Pradesh,YSR Kadapa,1,True
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,1,True
Andhra Pradesh,Kurnool,2,True
Arunachal Pradesh,Anjaw,1,True
Arunachal Pradesh,Changlang,1,True
Arunachal Pradesh,Dibang Valley,2,True
Arunachal Pradesh,East Kameng,2,True
Arunachal Pradesh,East Siang,3,True
Arunachal Pradesh,Kamle,1,True
Arunachal Pradesh,Kra Daadi,2,True
Arunachal Pradesh,Kurung Kumey,1,True
Arunachal Pradesh,Lepa Rada,1,True
Arunachal Pradesh,Lohit,1,True
Arunachal Pradesh,Longding,2,True
Arunachal Pradesh,Lower Dibang Valley,2,True
Arunachal Pradesh,Lower Subansiri,1,True
Arunachal Pradesh,Namsai,1,True
Arunachal Pradesh,Pakke Kessang,1,True
Arunachal Pradesh,Papum Pare,2,True
Arunachal Pradesh,Shi Yomi,2,True
Arunachal Pradesh,Siang,2,True
Arunachal Pradesh,Tawang,2,True
Arunachal Pradesh,Tirap,1,True
Arunachal Pradesh,Upper Siang,1,True
Arunachal Pradesh,Upper Subansiri,1,True
Arunachal Pradesh,West Kameng,3,True
