timeline_id,project_id,stage_name,planned_start_date,planned_end_date,actual_start_date,actual_end_date,stage_status,responsible_department,planned_duration_days,actual_duration_days,stage_delay_days
TL-0000001,LG-000001,Land Identification,2018-11-14,2019-02-03,2018-11-14,,In Progress,Irrigation Department,81,0,5
TL-0000002,LG-000001,Survey,2019-02-08,2019-03-18,,,Not Started,Irrigation Department,38,0,0
TL-0000003,LG-000001,Documentation,2019-03-23,2019-06-05,,,Not Started,R&R Authority,74,0,0
TL-0000004,LG-000001,Approval,2019-06-10,2019-10-04,,,Not Started,Legal Affairs,116,0,0
TL-0000005,LG-000001,Notification,2019-10-09,2019-11-11,,,Not Started,Land Records Cell,33,0,0
TL-0000006,LG-000001,Objection/Hearing,2019-11-16,2020-01-18,,,Not Started,Environmental Cell,63,0,0
TL-0000007,LG-000001,Compensation,2020-01-23,2020-05-06,,,Not Started,Irrigation Department,104,0,0
TL-0000008,LG-000001,Legal Resolution,2020-05-11,2020-06-14,,,Not Started,Land Records Cell,34,0,0
TL-0000009,LG-000001,R&R,2020-06-19,2020-10-03,,,Not Started,R&R Authority,106,0,0
TL-0000010,LG-000001,Possession,2020-10-08,2020-12-21,,,Not Started,Legal Affairs,74,0,0
TL-0000011,LG-000001,Final Handover,2020-12-26,2021-03-21,,,Not Started,Land Records Cell,85,0,0
TL-0000012,LG-000002,Land Identification,2018-10-23,2019-01-12,2018-10-23,2019-04-24,Completed,Land Records Cell,81,183,102
TL-0000013,LG-000002,Survey,2019-01-17,2019-04-30,2019-01-17,2019-08-28,Completed,Revenue Department,103,223,120
TL-0000014,LG-000002,Documentation,2019-05-05,2019-06-23,2019-05-05,2019-08-21,Completed,Irrigation Department,49,108,59
TL-0000015,LG-000002,Approval,2019-06-28,2019-08-07,2019-06-28,,Delayed,Land Records Cell,40,0,51
TL-0000016,LG-000002,Notification,2019-08-12,2019-11-21,,,Not Started,R&R Authority,101,0,0
TL-0000017,LG-000002,Objection/Hearing,2019-11-26,2020-03-12,,,Not Started,Public Works Dept,107,0,0
TL-0000018,LG-000002,Compensation,2020-03-17,2020-06-21,,,Not Started,R&R Authority,96,0,0
TL-0000019,LG-000002,Legal Resolution,2020-06-26,2020-09-21,,,Not Started,Finance Department,87,0,0
TL-0000020,LG-000002,R&R,2020-09-26,2020-12-03,,,Not Started,R&R Authority,68,0,0
TL-0000021,LG-000002,Possession,2020-12-08,2021-02-15,,,Not Started,Revenue Department,69,0,0
TL-0000022,LG-000002,Final Handover,2021-02-20,2021-06-08,,,Not Started,Land Records Cell,108,0,0
TL-0000023,LG-000003,Land Identification,2018-12-05,2019-02-21,2018-12-05,2019-03-04,Completed,Irrigation Department,78,89,11
TL-0000024,LG-000003,Survey,2019-02-26,2019-06-25,2019-02-26,2019-07-04,Completed,Revenue Department,119,128,9
TL-0000025,LG-000003,Documentation,2019-06-30,2019-10-22,2019-06-30,2019-11-03,Completed,Irrigation Department,114,126,12
TL-0000026,LG-000003,Approval,2019-10-27,2019-11-27,2019-10-27,2019-11-28,Completed,Finance Department,31,32,1
