doc_id,project_id,document_type,submitted_flag,verified_flag,issue_flag,submission_date,verification_date,doc_status
DOC-0000001,LG-000001,Compensation Document,1,0,0,2018-12-29,,Submitted
DOC-0000002,LG-000001,Land Record,1,1,0,2018-12-04,2018-12-18,Verified
DOC-0000003,LG-000001,Ownership Proof,1,1,0,2019-01-07,2019-01-30,Verified
DOC-0000004,LG-000001,Ownership Proof,1,1,0,2018-11-22,2018-12-19,Verified
DOC-0000005,LG-000001,Compensation Document,1,0,0,2018-12-18,,Submitted
DOC-0000006,LG-000001,Compensation Document,1,1,1,2018-12-17,2019-01-15,Verified
DOC-0000007,LG-000001,Identity Document,1,1,0,2018-11-29,2019-01-01,Verified
DOC-0000008,LG-000001,Compensation Document,1,1,0,2018-12-06,2019-01-09,Verified
DOC-0000009,LG-000001,Survey Record,1,0,0,2019-01-03,,Submitted
DOC-0000010,LG-000001,Ownership Proof,1,1,0,2018-11-24,2018-12-08,Verified
DOC-0000011,LG-000001,Identity Document,1,1,0,2018-11-23,2018-12-16,Verified
DOC-0000012,LG-000001,Identity Document,1,1,0,2019-01-11,2019-02-03,Verified
DOC-0000013,LG-000001,Compensation Document,1,1,0,2019-01-12,2019-02-19,Verified
DOC-0000014,LG-000001,Identity Document,1,0,0,2019-01-06,,Submitted
DOC-0000015,LG-000002,Survey Record,0,0,0,,,Pending
DOC-0000016,LG-000002,Compensation Document,1,0,0,2018-12-10,,Submitted
DOC-0000017,LG-000002,Survey Record,1,0,1,2018-12-19,,Submitted
DOC-0000018,LG-000002,Identity Document,1,1,0,2018-11-30,2018-12-30,Verified
DOC-0000019,LG-000002,Identity Document,1,0,1,2018-12-07,,Submitted
DOC-0000020,LG-000002,Land Record,1,1,0,2018-11-17,2018-12-18,Verified
DOC-0000021,LG-000002,Identity Document,1,1,1,2018-11-15,2018-12-16,Verified
DOC-0000022,LG-000002,Survey Record,1,1,0,2018-11-17,2018-12-05,Verified
DOC-0000023,LG-000002,Compensation Document,0,0,1,,,Pending
DOC-0000024,LG-000002,Identity Document,1,0,1,2018-11-26,,Submitted
DOC-0000025,LG-000002,Compensation Document,0,0,1,,,Pending
DOC-0000026,LG-000002,Compensation Document,1,1,1,2018-11-10,2018-11-28,Verified
DOC-0000027,LG-000002,Identity Document,0,0,0,,,Pending
DOC-0000028,LG-000002,Compensation Document,0,0,1,,,Pending
DOC-0000029,LG-000003,Compensation Document,1,0,0,2018-12-11,,Submitted
DOC-0000030,LG-000003,Land Record,1,1,1,2018-12-24,2019-01-23,Verified
DOC-0000031,LG-000003,Land Record,1,1,0,2019-01-20,2019-02-12,Verified
DOC-0000032,LG-000003,Land Record,1,1,0,2019-01-10,2019-01-23,Verified
DOC-0000033,LG-000003,Compensation Document,1,1,0,2019-01-02,2019-02-02,Verified
DOC-0000034,LG-000003,Land Record,1,1,0,2019-01-05,2019-02-04,Verified
DOC-0000035,LG-000003,Survey Record,1,1,1,2018-12-27,2019-01-07,Verified
DOC-0000036,LG-000003,Survey Record,1,1,0,2019-01-02,2019-01-15,Verified
DOC-0000037,LG-000003,Ownership Proof,1,1,0,2019-01-04,2019-01-22,Verified
DOC-0000038,LG-000003,Ownership Proof,1,1,0,2018-12-15,2019-01-15,Verified
DOC-0000039,LG-000003,Ownership Proof,1,1,0,2019-01-29,2019-02-18,Verified
DOC-0000040,LG-000003,Compensation Document,1,1,0,2019-02-01,2019-03-07,Verified
DOC-0000041,LG-000003,Ownership Proof,1,0,0,2018-12-31,,Submitted
DOC-0000042,LG-000003,Compensation Document,1,1,0,2018-12-19,2019-01-02,Verified
DOC-0000043,LG-000003,Ownership Proof,1,0,0,2018-12-11,,Submitted
DOC-0000044,LG-000004,Survey Record,1,0,0,2024-03-29,,Submitted
DOC-0000045,LG-000004,Ownership Proof,1,0,1,2024-03-25,,Submitted
DOC-0000046,LG-000004,Survey Record,1,1,1,2024-05-01,2024-05-16,Verified
DOC-0000047,LG-000004,Compensation Document,1,0,0,2024-04-13,,Submitted
DOC-0000048,LG-000004,Survey Record,0,0,1,,,Pending
DOC-0000049,LG-000004,Identity Document,0,0,0,,,Pending
DOC-0000050,LG-000004,Ownership Proof,1,1,1,2024-04-30,2024-06-06,Verified
DOC-0000051,LG-000004,Identity Document,1,1,0,2024-04-14,2024-05-03,Verified
DOC-0000052,LG-000004,Land Record,0,0,1,,,Pending
DOC-0000053,LG-000004,Compensation Document,1,1,1,2024-05-14,2024-05-28,Verified
DOC-0000054,LG-000004,Compensation Document,0,0,1,,,Pending
DOC-0000055,LG-000004,Identity Document,1,1,0,2024-04-05,2024-04-25,Verified
DOC-0000056,LG-000004,Ownership Proof,0,0,1,,,Pending
DOC-0000057,LG-000004,Land Record,0,0,1,,,Pending
DOC-0000058,LG-000005,Ownership Proof,1,1,0,2021-10-14,2021-10-26,Verified
DOC-0000059,LG-000005,Compensation Document,1,1,0,2021-11-11,2021-11-22,Verified
DOC-0000060,LG-000005,Land Record,1,1,0,2021-11-03,2021-12-07,Verified
DOC-0000061,LG-000005,Ownership Proof,1,1,0,2021-11-16,2021-12-04,Verified
DOC-0000062,LG-000005,Identity Document,1,0,0,2021-11-08,,Submitted
DOC-0000063,LG-000005,Identity Document,1,0,0,2021-11-20,,Submitted
DOC-0000064,LG-000005,Land Record,1,1,0,2021-11-06,2021-11-22,Verified
