parcel_id,project_id,survey_number,village,land_area_acres,land_use_type,ownership_type,owner_count,ownership_verified,ownership_conflict,document_status,acquisition_status,possession_status,compensation_status,legal_dispute_flag
PARCEL-0000001,LG-000001,Sy.No 101/3C,Sultanpur (Ananthapuramu),983.03,Agricultural,Private,1,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000002,LG-000001,Sy.No 102/2B,Madhavpur (Ananthapuramu),983.03,Residential,Government,2,0,0,Verified,Notified,In Progress,Pending,0
PARCEL-0000003,LG-000001,Sy.No 103/1A,Nandpur (Ananthapuramu),983.03,Commercial,Private,2,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000004,LG-000001,Sy.No 104/1A,Kishanpur (Ananthapuramu),983.03,Residential,Private,2,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000005,LG-000001,Sy.No 105/2B,Kalyanpur (Ananthapuramu),983.03,Barren,Community,2,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000006,LG-000001,Sy.No 106/3C,Sultanpur (Ananthapuramu),983.03,Barren,Private,2,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000007,LG-000001,Sy.No 107/4D,Kishanpur (Ananthapuramu),983.03,Residential,Private,2,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000008,LG-000002,Sy.No 101/1A,Haripur (Annamayya),19.73,Commercial,Private,5,1,0,Missing,Surveyed,Pending,Pending,0
PARCEL-0000009,LG-000002,Sy.No 102/3C,Rampur (Annamayya),19.73,Commercial,Community,4,1,0,Pending,Surveyed,Pending,Pending,0
PARCEL-0000010,LG-000002,Sy.No 103/2B,Shivpur (Annamayya),19.73,Barren,Government,4,0,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0000011,LG-000002,Sy.No 104/3C,Kishanpur (Annamayya),19.73,Barren,Private,4,1,0,Pending,Surveyed,Pending,Pending,0
PARCEL-0000012,LG-000002,Sy.No 105/4D,Kishanpur (Annamayya),19.73,Residential,Government,3,0,0,Pending,Surveyed,Pending,Pending,0
PARCEL-0000013,LG-000002,Sy.No 106/3C,Nandpur (Annamayya),19.73,Residential,Private,2,1,0,Missing,Identified,Pending,Pending,0
PARCEL-0000014,LG-000002,Sy.No 107/4D,Chandpur (Annamayya),19.73,Barren,Private,1,1,1,Missing,Surveyed,Pending,Disputed,1
PARCEL-0000015,LG-000002,Sy.No 108/3C,Fatehpur (Annamayya),19.73,Barren,Community,5,1,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0000016,LG-000002,Sy.No 109/3C,Shivpur (Annamayya),19.73,Commercial,Government,3,1,1,Missing,Surveyed,Pending,Disputed,1
PARCEL-0000017,LG-000002,Sy.No 110/2B,Govindpur (Annamayya),19.73,Residential,Private,4,1,1,Rejected,Identified,Pending,Disputed,1
PARCEL-0000018,LG-000002,Sy.No 111/3C,Bhavanipur (Annamayya),19.73,Agricultural,Private,3,1,0,Rejected,Surveyed,Pending,Pending,0
PARCEL-0000019,LG-000002,Sy.No 112/2B,Kishanpur (Annamayya),19.73,Commercial,Private,1,0,1,Rejected,Identified,Pending,Disputed,1
PARCEL-0000020,LG-000002,Sy.No 113/3C,Bhavanipur (Annamayya),19.73,Agricultural,Community,3,1,0,Missing,Identified,Pending,Pending,0
PARCEL-0000021,LG-000002,Sy.No 114/4D,Chandpur (Annamayya),19.73,Barren,Private,1,1,1,Pending,Surveyed,Pending,Disputed,1
PARCEL-0000022,LG-000003,Sy.No 101/3C,Anandpur (Alluri Sitharama Raju),370.37,Barren,Government,4,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000023,LG-000003,Sy.No 102/1A,Anandpur (Alluri Sitharama Raju),370.37,Residential,Community,1,0,0,Verified,Transferred,In Progress,Pending,0
PARCEL-0000024,LG-000003,Sy.No 103/4D,Govindpur (Alluri Sitharama Raju),370.37,Barren,Private,3,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000025,LG-000003,Sy.No 104/1A,Rampur (Alluri Sitharama Raju),370.37,Commercial,Government,2,1,1,Verified,Transferred,In Progress,Approved,1
PARCEL-0000026,LG-000003,Sy.No 105/2B,Madhavpur (Alluri Sitharama Raju),370.37,Residential,Private,1,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000027,LG-000003,Sy.No 106/4D,Anandpur (Alluri Sitharama Raju),370.37,Residential,Private,4,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000028,LG-000003,Sy.No 107/3C,Chandpur (Alluri Sitharama Raju),370.37,Commercial,Community,5,1,1,Verified,Transferred,In Progress,Approved,1
PARCEL-0000029,LG-000003,Sy.No 108/2B,Govindpur (Alluri Sitharama Raju),370.37,Commercial,Community,4,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000030,LG-000003,Sy.No 109/3C,Chandpur (Alluri Sitharama Raju),370.37,Barren,Private,2,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000031,LG-000004,Sy.No 101/3C,Gopalpur (Anakapalli),84.58,Commercial,Community,3,1,0,Rejected,Identified,Pending,Pending,0
