dispute_id,project_id,case_type,filing_date,resolution_date,case_status,pending_days,court_level,case_severity
LEG-0000001,LG-000001,Compensation Amount Dispute,2019-07-25,,Stay Order Issued,2532,High Court,Medium
LEG-0000002,LG-000001,Encroachment,2019-01-18,2019-11-09,Resolved,0,Revenue Tribunal,Medium
LEG-0000003,LG-000001,Encroachment,2019-11-18,2020-07-19,Resolved,0,Revenue Tribunal,Medium
LEG-0000004,LG-000002,Compensation Amount Dispute,2019-04-06,,Pending,2642,District Court,Critical
LEG-0000005,LG-000002,Environmental Challenge,2019-08-31,,Pending,2495,High Court,Critical
LEG-0000006,LG-000002,Title Dispute,2019-11-09,,Under Hearing,2425,District Court,Critical
LEG-0000007,LG-000002,Environmental Challenge,2019-04-18,2019-12-13,Resolved,0,District Court,Critical
LEG-0000008,LG-000002,R&R Dispute,2019-11-08,,Under Hearing,2426,Revenue Tribunal,Critical
LEG-0000009,LG-000002,Compensation Amount Dispute,2019-03-03,,Stay Order Issued,2676,Revenue Tribunal,Critical
LEG-0000010,LG-000002,Compensation Amount Dispute,2019-02-06,2019-11-04,Resolved,0,District Court,Critical
LEG-0000011,LG-000003,Encroachment,2019-03-12,2019-12-21,Resolved,0,Revenue Tribunal,High
LEG-0000012,LG-000004,Title Dispute,2024-10-07,,Pending,631,Revenue Tribunal,High
LEG-0000013,LG-000004,Encroachment,2024-06-14,,Pending,746,High Court,High
LEG-0000014,LG-000004,Title Dispute,2025-03-13,2025-07-11,Resolved,0,District Court,Medium
LEG-0000015,LG-000004,Title Dispute,2024-07-27,,Pending,703,District Court,High
LEG-0000016,LG-000004,R&R Dispute,2024-12-25,,Stay Order Issued,552,High Court,High
LEG-0000017,LG-000005,Encroachment,2022-05-07,2022-11-15,Resolved,0,District Court,High
LEG-0000018,LG-000006,Title Dispute,2018-11-06,,Stay Order Issued,2793,District Court,Low
LEG-0000019,LG-000006,Environmental Challenge,2019-06-03,,Pending,2584,Revenue Tribunal,Low
LEG-0000020,LG-000006,Environmental Challenge,2019-05-19,,Stay Order Issued,2599,Revenue Tribunal,High
LEG-0000021,LG-000006,Compensation Amount Dispute,2018-11-21,2019-06-01,Resolved,0,Revenue Tribunal,Medium
