geo_id,project_id,latitude,longitude,state,district,village,location_name
GEO-000001,LG-000001,14.793754,83.83712,Andhra Pradesh,Ananthapuramu,Nandpur (Ananthapuramu),Ananthapuramu Infrastructure Site 1
GEO-000002,LG-000002,16.316685,78.6685,Andhra Pradesh,Annamayya,Haripur (Annamayya),Annamayya Infrastructure Site 2
GEO-000003,LG-000003,14.516835,80.844409,Andhra Pradesh,Alluri Sitharama Raju,Shivpur (Alluri Sitharama Raju),Alluri Sitharama Raju Infrastructure Site 3
GEO-000004,LG-000004,16.530312,83.784015,Andhra Pradesh,Anakapalli,Rampur (Anakapalli),Anakapalli Infrastructure Site 4
GEO-000005,LG-000005,15.18804,82.535469,Andhra Pradesh,Bapatla,Chandpur (Bapatla),Bapatla Infrastructure Site 5
GEO-000006,LG-000006,14.562648,82.58306,Andhra Pradesh,Chittoor,Rampur (Chittoor),Chittoor Infrastructure Site 6
GEO-000007,LG-000007,18.84955,81.496289,Andhra Pradesh,East Godavari,Haripur (East Godavari),East Godavari Infrastructure Site 7
GEO-000008,LG-000008,17.107314,81.962081,Andhra Pradesh,Eluru,Sultanpur (Eluru),Eluru Infrastructure Site 8
GEO-000009,LG-000009,18.449333,79.480088,Andhra Pradesh,Guntur,Shivpur (Guntur),Guntur Infrastructure Site 9
GEO-000010,LG-000010,17.840366,82.381013,Andhra Pradesh,Kakinada,Kalyanpur (Kakinada),Kakinada Infrastructure Site 10
GEO-000011,LG-000011,17.744688,77.324936,Andhra Pradesh,NTR,Bhavanipur (NTR),NTR Infrastructure Site 11
GEO-000012,LG-000012,17.664568,81.690867,Andhra Pradesh,Nandyal,Gopalpur (Nandyal),Nandyal Infrastructure Site 12
GEO-000013,LG-000013,15.686572,81.290677,Andhra Pradesh,Palnadu,Haripur (Palnadu),Palnadu Infrastructure Site 13
GEO-000014,LG-000014,13.527629,81.461169,Andhra Pradesh,Parvathipuram Manyam,Haripur (Parvathipuram Manyam),Parvathipuram Manyam Infrastructure Site 14
GEO-000015,LG-000015,19.004849,83.975998,Andhra Pradesh,Prakasam,Gopalpur (Prakasam),Prakasam Infrastructure Site 15
GEO-000016,LG-000016,14.39465,77.757197,Andhra Pradesh,Sri Potti Sriramulu Nellore,Haripur (Sri Potti Sriramulu Nellore),Sri Potti Sriramulu Nellore Infrastructure Site 16
GEO-000017,LG-000017,15.353014,79.586463,Andhra Pradesh,Sri Sathya Sai,Kishanpur (Sri Sathya Sai),Sri Sathya Sai Infrastructure Site 17
GEO-000018,LG-000018,14.245221,80.469141,Andhra Pradesh,Srikakulam,Gopalpur (Srikakulam),Srikakulam Infrastructure Site 18
GEO-000019,LG-000019,15.742568,83.791033,Andhra Pradesh,Tirupati,Nandpur (Tirupati),Tirupati Infrastructure Site 19
GEO-000020,LG-000020,14.388911,78.855646,Andhra Pradesh,Visakhapatnam,Bhavanipur (Visakhapatnam),Visakhapatnam Infrastructure Site 20
GEO-000021,LG-000021,16.046294,77.565471,Andhra Pradesh,Vizianagaram,Kishanpur (Vizianagaram),Vizianagaram Infrastructure Site 21
GEO-000022,LG-000022,18.736062,84.645518,Andhra Pradesh,West Godavari,Anandpur (West Godavari),West Godavari Infrastructure Site 22
GEO-000023,LG-000023,12.690898,78.535985,Andhra Pradesh,YSR Kadapa,Fatehpur (YSR Kadapa),YSR Kadapa Infrastructure Site 23
GEO-000024,LG-000024,16.88136,78.207882,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Gopalpur (Dr. B.R. Ambedkar Konaseema),Dr. B.R. Ambedkar Konaseema Infrastructure Site 24
GEO-000025,LG-000025,15.575438,77.699927,Andhra Pradesh,Kurnool,Bhavanipur (Kurnool),Kurnool Infrastructure Site 25
GEO-000026,LG-000026,27.116159,93.633667,Arunachal Pradesh,Anjaw,Bhavanipur (Anjaw),Anjaw Infrastructure Site 26
GEO-000027,LG-000027,26.927382,96.768765,Arunachal Pradesh,Changlang,Nandpur (Changlang),Changlang Infrastructure Site 27
GEO-000028,LG-000028,26.577916,94.551556,Arunachal Pradesh,Dibang Valley,Anandpur (Dibang Valley),Dibang Valley Infrastructure Site 28
GEO-000029,LG-000029,27.014271,95.481825,Arunachal Pradesh,East Kameng,Sultanpur (East Kameng),East Kameng Infrastructure Site 29
GEO-000030,LG-000030,29.320855,97.225907,Arunachal Pradesh,East Siang,Kishanpur (East Siang),East Siang Infrastructure Site 30
GEO-000031,LG-000031,26.942276,93.172018,Arunachal Pradesh,Kamle,Bhavanipur (Kamle),Kamle Infrastructure Site 31
GEO-000032,LG-000032,28.22595,91.999052,Arunachal Pradesh,Kra Daadi,Nandpur (Kra Daadi),Kra Daadi Infrastructure Site 32
GEO-000033,LG-000033,27.000805,93.117477,Arunachal Pradesh,Kurung Kumey,Sultanpur (Kurung Kumey),Kurung Kumey Infrastructure Site 33
GEO-000034,LG-000034,28.729404,93.862374,Arunachal Pradesh,Lepa Rada,Rampur (Lepa Rada),Lepa Rada Infrastructure Site 34
GEO-000035,LG-000035,27.293497,96.447057,Arunachal Pradesh,Lohit,Haripur (Lohit),Lohit Infrastructure Site 35
GEO-000036,LG-000036,29.186431,95.257732,Arunachal Pradesh,Longding,Devpur (Longding),Longding Infrastructure Site 36
GEO-000037,LG-000037,28.384956,94.720401,Arunachal Pradesh,Lower Dibang Valley,Shivpur (Lower Dibang Valley),Lower Dibang Valley Infrastructure Site 37
GEO-000038,LG-000038,26.669945,95.615356,Arunachal Pradesh,Lower Subansiri,Govindpur (Lower Subansiri),Lower Subansiri Infrastructure Site 38
GEO-000039,LG-000039,29.233209,93.439239,Arunachal Pradesh,Namsai,Haripur (Namsai),Namsai Infrastructure Site 39
GEO-000040,LG-000040,28.158683,95.364096,Arunachal Pradesh,Pakke Kessang,Madhavpur (Pakke Kessang),Pakke Kessang Infrastructure Site 40
GEO-000041,LG-000041,29.36608,97.078391,Arunachal Pradesh,Papum Pare,Gopalpur (Papum Pare),Papum Pare Infrastructure Site 41
GEO-000042,LG-000042,27.25698,93.491024,Arunachal Pradesh,Shi Yomi,Nandpur (Shi Yomi),Shi Yomi Infrastructure Site 42
GEO-000043,LG-000043,26.607234,92.326124,Arunachal Pradesh,Siang,Madhavpur (Siang),Siang Infrastructure Site 43
GEO-000044,LG-000044,28.258343,91.849969,Arunachal Pradesh,Tawang,Rampur (Tawang),Tawang Infrastructure Site 44
GEO-000045,LG-000045,28.928275,91.504258,Arunachal Pradesh,Tirap,Chandpur (Tirap),Tirap Infrastructure Site 45
GEO-000046,LG-000046,28.257352,92.80619,Arunachal Pradesh,Upper Siang,Shivpur (Upper Siang),Upper Siang Infrastructure Site 46
GEO-000047,LG-000047,29.285819,94.733085,Arunachal Pradesh,Upper Subansiri,Shivpur (Upper Subansiri),Upper Subansiri Infrastructure Site 47
