outcome_id,project_id,planned_duration_days,actual_duration_days,delay_days,delay_flag,final_status,delay_stage,completion_date
OUT-000001,LG-000001,1460,1543,83,0,On Time,None,
OUT-000002,LG-000002,1095,1605,510,1,Severely Delayed,Compensation,2023-03-16
OUT-000003,LG-000003,1825,1867,42,0,On Time,None,2024-01-15
OUT-000004,LG-000004,730,1014,284,1,Delayed,Legal Resolution,
OUT-000005,LG-000005,730,746,16,0,On Time,None,
OUT-000006,LG-000006,1095,1281,186,1,Delayed,Legal Resolution,2022-03-25
OUT-000007,LG-000007,2190,2520,330,1,Delayed,Legal Resolution,
OUT-000008,LG-000008,2190,2452,262,1,Delayed,Legal Resolution,2030-03-20
OUT-000009,LG-000009,1095,1103,8,0,On Time,None,
OUT-000010,LG-000010,1460,1478,18,0,On Time,None,2023-02-02
OUT-000011,LG-000011,1095,1654,559,1,Severely Delayed,Compensation,2025-04-18
OUT-000012,LG-000012,730,1380,650,1,Severely Delayed,Compensation,
OUT-000013,LG-000013,1095,1115,20,0,On Time,None,
OUT-000014,LG-000014,2190,2195,5,0,On Time,None,
OUT-000015,LG-000015,730,795,65,0,On Time,None,
OUT-000016,LG-000016,730,791,61,0,On Time,None,2025-06-26
OUT-000017,LG-000017,1460,1471,11,0,On Time,None,
OUT-000018,LG-000018,1460,1707,247,1,Delayed,Legal Resolution,
OUT-000019,LG-000019,730,754,24,0,On Time,None,
OUT-000020,LG-000020,1095,1098,3,0,On Time,None,
OUT-000021,LG-000021,1460,1487,27,0,On Time,None,
OUT-000022,LG-000022,1825,1846,21,0,On Time,None,
OUT-000023,LG-000023,730,760,30,0,On Time,None,
OUT-000024,LG-000024,1825,1955,130,1,Delayed,Legal Resolution,
OUT-000025,LG-000025,730,778,48,0,On Time,None,
OUT-000026,LG-000026,730,924,194,1,Delayed,Legal Resolution,2026-12-16
OUT-000027,LG-000027,1095,1173,78,0,On Time,None,
OUT-000028,LG-000028,1095,1149,54,0,On Time,None,
OUT-000029,LG-000029,1825,1859,34,0,On Time,None,2029-04-07
OUT-000030,LG-000030,2190,2202,12,0,On Time,None,
OUT-000031,LG-000031,730,1370,640,1,Severely Delayed,Compensation,
OUT-000032,LG-000032,1095,1678,583,1,Severely Delayed,Compensation,
OUT-000033,LG-000033,1460,1908,448,1,Severely Delayed,Compensation,
OUT-000034,LG-000034,2190,2248,58,0,On Time,None,
OUT-000035,LG-000035,2190,2416,226,1,Delayed,Legal Resolution,
OUT-000036,LG-000036,1095,1246,151,1,Delayed,Legal Resolution,
OUT-000037,LG-000037,2190,2890,700,1,Severely Delayed,Compensation,2028-03-26
OUT-000038,LG-000038,730,748,18,0,On Time,None,
OUT-000039,LG-000039,1825,1901,76,0,On Time,None,
OUT-000040,LG-000040,1825,1831,6,0,On Time,None,
OUT-000041,LG-000041,730,921,191,1,Delayed,Legal Resolution,
OUT-000042,LG-000042,1825,2517,692,1,Severely Delayed,Compensation,
OUT-000043,LG-000043,1095,1542,447,1,Severely Delayed,Compensation,
OUT-000044,LG-000044,1095,1168,73,0,On Time,None,
OUT-000045,LG-000045,2190,2205,15,0,On Time,None,2029-05-22
