rr_id,project_id,affected_families,families_eligible,families_rehabilitated,families_pending,houses_required,houses_completed,rr_budget,rr_spent,rr_completion_percentage,rr_status
RR-000001,LG-000001,2172,2108,2093,15,2108,2093,13580189361.45,13483556135.44,99.29,In Progress
RR-000002,LG-000002,2565,2462,861,1601,2462,738,5950721641.09,2081060655.15,34.97,Delayed
RR-000003,LG-000003,832,668,646,22,668,646,1497025898.58,1447722650.42,96.71,In Progress
RR-000004,LG-000004,709,639,351,288,639,319,11169217654.42,6135204063.7,54.93,In Progress
RR-000005,LG-000005,3880,3209,2763,446,3209,2763,11382979059.75,9800925877.87,86.1,In Progress
RR-000006,LG-000006,4522,3786,2082,1704,3786,1893,4543414854.72,2498518153.07,54.99,In Progress
RR-000007,LG-000007,4890,4464,2455,2009,4464,2232,7883311583.32,4335468175.86,55.0,In Progress
RR-000008,LG-000008,4540,4156,2285,1871,4156,2078,2787289081.66,1532472461.88,54.98,In Progress
RR-000009,LG-000009,3646,3142,2876,266,3142,2876,8481618891.98,7763569679.61,91.53,In Progress
RR-000010,LG-000010,954,810,724,86,810,724,40023737.73,35774303.85,89.38,In Progress
RR-000011,LG-000011,1915,1587,555,1032,1587,476,7897438039.46,2761863964.65,34.97,Delayed
RR-000012,LG-000012,1349,1315,460,855,1315,394,11234793575.57,3930041859.13,34.98,Delayed
RR-000013,LG-000013,790,657,641,16,657,641,7229722265.29,7053655969.64,97.56,In Progress
RR-000014,LG-000014,938,885,816,69,885,816,10860048162.14,10013332542.72,92.2,In Progress
RR-000015,LG-000015,4363,3707,3202,505,3707,3202,1399209702.07,1208597104.4,86.38,In Progress
RR-000016,LG-000016,3291,2763,2653,110,2763,2653,8571788658.11,8230530332.96,96.02,In Progress
RR-000017,LG-000017,1270,1089,990,99,1089,990,1888723123.79,1717021021.63,90.91,In Progress
RR-000018,LG-000018,1287,1256,690,566,1256,628,1686907554.16,926724691.38,54.94,In Progress
RR-000019,LG-000019,4493,4351,4071,280,4351,4071,8363893401.06,7825651582.56,93.56,In Progress
RR-000020,LG-000020,2357,1938,1787,151,1938,1787,11592147280.4,10688940758.55,92.21,In Progress
RR-000021,LG-000021,1959,1662,1557,105,1662,1557,2510497988.66,2351892520.06,93.68,In Progress
RR-000022,LG-000022,1450,1287,1165,122,1287,1165,7276693348.27,6586905789.23,90.52,In Progress
RR-000023,LG-000023,1829,1510,1301,209,1510,1301,2936941528.03,2530437700.64,86.16,In Progress
RR-000024,LG-000024,2969,2930,1611,1319,2930,1465,10832465379.73,5956007415.27,54.98,In Progress
RR-000025,LG-000025,2259,1866,1674,192,1866,1674,12943704655.26,11611876523.53,89.71,In Progress
RR-000026,LG-000026,1009,813,447,366,813,406,13937332917.53,7662961641.0,54.98,In Progress
RR-000027,LG-000027,91,90,80,10,90,80,14154727140.36,12581979680.32,88.89,In Progress
RR-000028,LG-000028,162,149,139,10,149,139,10126948789.13,9447287796.57,93.29,In Progress
RR-000029,LG-000029,4213,4032,3885,147,4032,3885,4668856821.05,4498638082.78,96.35,In Progress
RR-000030,LG-000030,3280,2811,2578,233,2811,2578,7888558787.31,7234686785.37,91.71,In Progress
RR-000031,LG-000031,1332,1088,380,708,1088,326,9666494264.72,3376165276.28,34.93,Delayed
RR-000032,LG-000032,3095,3061,1071,1990,3061,918,2291804447.7,801869507.84,34.99,Delayed
RR-000033,LG-000033,4218,3551,1242,2309,3551,1065,6341699948.84,2218076974.5,34.98,Delayed
RR-000034,LG-000034,3206,2721,2317,404,2721,2317,3105058557.76,2644035530.44,85.15,In Progress
RR-000035,LG-000035,2587,2549,1401,1148,2549,1274,128668243.48,70719579.88,54.96,In Progress
RR-000036,LG-000036,3208,2632,1447,1185,2632,1316,6047680613.22,3324845686.68,54.98,In Progress
RR-000037,LG-000037,1780,1577,551,1026,1577,473,2819979571.78,985294067.25,34.94,Delayed
RR-000038,LG-000038,58,52,50,2,52,50,6904120963.1,6638577849.13,96.15,In Progress
RR-000039,LG-000039,1875,1733,1514,219,1733,1514,396767761.35,346628038.48,87.36,In Progress
RR-000040,LG-000040,3459,3242,2769,473,3242,2769,8640812244.43,7380138527.09,85.41,In Progress
RR-000041,LG-000041,3105,2684,1476,1208,2684,1342,12274710856.21,6750176312.88,54.99,In Progress
RR-000042,LG-000042,450,419,146,273,419,125,675000000.0,235202863.96,34.84,Delayed
RR-000043,LG-000043,309,253,88,165,253,75,3730527826.03,1297574896.01,34.78,Delayed
