risk_history_id,project_id,prediction_date,delay_probability,risk_score,risk_category,expected_delay_days,highest_risk_stage,model_version
RISK-0000001,LG-000001,2018-11-14,0.32,32,MEDIUM,100,Land Identification,v1.2.0
RISK-0000002,LG-000001,2018-12-14,0.31,31,MEDIUM,109,Land Identification,v1.2.0
RISK-0000003,LG-000001,2019-01-13,0.31,31,MEDIUM,84,Land Identification,v1.2.0
RISK-0000004,LG-000001,2019-02-12,0.37,37,MEDIUM,48,Land Identification,v1.2.0
RISK-0000005,LG-000001,2019-03-14,0.31,31,MEDIUM,43,Land Identification,v1.2.0
RISK-0000006,LG-000001,2019-04-13,0.37,37,MEDIUM,65,Land Identification,v1.2.0
RISK-0000007,LG-000001,2019-05-13,0.31,31,MEDIUM,59,Land Identification,v1.2.0
RISK-0000008,LG-000001,2019-06-12,0.37,37,MEDIUM,56,Land Identification,v1.2.0
RISK-0000009,LG-000001,2019-07-12,0.45,45,MEDIUM,54,Land Identification,v1.2.0
RISK-0000010,LG-000001,2019-08-11,0.36,36,MEDIUM,99,Land Identification,v1.2.0
RISK-0000011,LG-000001,2019-09-10,0.38,38,MEDIUM,87,Land Identification,v1.2.0
RISK-0000012,LG-000001,2019-10-10,0.35,35,MEDIUM,54,Land Identification,v1.2.0
RISK-0000013,LG-000001,2019-11-09,0.35,35,MEDIUM,79,Land Identification,v1.2.0
RISK-0000014,LG-000002,2018-10-23,0.81,81,CRITICAL,492,Approval,v1.2.0
RISK-0000015,LG-000002,2018-11-22,0.85,85,CRITICAL,445,Approval,v1.2.0
RISK-0000016,LG-000002,2018-12-22,0.84,84,CRITICAL,589,Approval,v1.2.0
RISK-0000017,LG-000002,2019-01-21,0.88,88,CRITICAL,583,Approval,v1.2.0
RISK-0000018,LG-000002,2019-02-20,0.84,84,CRITICAL,503,Approval,v1.2.0
RISK-0000019,LG-000002,2019-03-22,0.84,84,CRITICAL,314,Approval,v1.2.0
RISK-0000020,LG-000003,2018-12-05,0.36,36,MEDIUM,95,Legal Resolution,v1.2.0
RISK-0000021,LG-000003,2019-01-04,0.44,44,MEDIUM,69,Legal Resolution,v1.2.0
RISK-0000022,LG-000003,2019-02-03,0.43,43,MEDIUM,83,Legal Resolution,v1.2.0
RISK-0000023,LG-000003,2019-03-05,0.44,44,MEDIUM,91,Legal Resolution,v1.2.0
RISK-0000024,LG-000003,2019-04-04,0.43,43,MEDIUM,52,Legal Resolution,v1.2.0
RISK-0000025,LG-000003,2019-05-04,0.4,40,MEDIUM,94,Legal Resolution,v1.2.0
RISK-0000026,LG-000003,2019-06-03,0.4,40,MEDIUM,72,Legal Resolution,v1.2.0
RISK-0000027,LG-000003,2019-07-03,0.41,41,MEDIUM,59,Legal Resolution,v1.2.0
RISK-0000028,LG-000004,2024-03-18,0.64,64,HIGH,215,Objection/Hearing,v1.2.0
RISK-0000029,LG-000004,2024-04-17,0.62,62,HIGH,146,Objection/Hearing,v1.2.0
RISK-0000030,LG-000004,2024-05-17,0.64,64,HIGH,252,Objection/Hearing,v1.2.0
RISK-0000031,LG-000004,2024-06-16,0.66,66,HIGH,151,Objection/Hearing,v1.2.0
RISK-0000032,LG-000004,2024-07-16,0.63,63,HIGH,141,Objection/Hearing,v1.2.0
RISK-0000033,LG-000004,2024-08-15,0.68,68,HIGH,161,Objection/Hearing,v1.2.0
RISK-0000034,LG-000004,2024-09-14,0.64,64,HIGH,235,Objection/Hearing,v1.2.0
RISK-0000035,LG-000004,2024-10-14,0.67,67,HIGH,157,Objection/Hearing,v1.2.0
RISK-0000036,LG-000004,2024-11-13,0.7,70,HIGH,231,Objection/Hearing,v1.2.0
RISK-0000037,LG-000004,2024-12-13,0.65,65,HIGH,176,Objection/Hearing,v1.2.0
RISK-0000038,LG-000004,2025-01-12,0.72,72,HIGH,235,Objection/Hearing,v1.2.0
RISK-0000039,LG-000004,2025-02-11,0.68,68,HIGH,126,Objection/Hearing,v1.2.0
RISK-0000040,LG-000004,2025-03-13,0.7,70,HIGH,133,Objection/Hearing,v1.2.0
RISK-0000041,LG-000004,2025-04-12,0.71,71,HIGH,248,Objection/Hearing,v1.2.0
RISK-0000042,LG-000004,2025-05-12,0.71,71,HIGH,180,Objection/Hearing,v1.2.0
RISK-0000043,LG-000004,2025-06-11,0.73,73,HIGH,140,Objection/Hearing,v1.2.0
RISK-0000044,LG-000004,2025-07-11,0.72,72,HIGH,177,Objection/Hearing,v1.2.0
RISK-0000045,LG-000004,2025-08-10,0.71,71,HIGH,201,Objection/Hearing,v1.2.0
RISK-0000046,LG-000004,2025-09-09,0.72,72,HIGH,205,Objection/Hearing,v1.2.0
RISK-0000047,LG-000004,2025-10-09,0.79,79,HIGH,157,Objection/Hearing,v1.2.0
RISK-0000048,LG-000005,2021-10-01,0.2,20,LOW,26,Legal Resolution,v1.2.0
RISK-0000049,LG-000005,2021-10-31,0.09,9,LOW,4,Legal Resolution,v1.2.0
RISK-0000050,LG-000005,2021-11-30,0.17,17,LOW,20,Legal Resolution,v1.2.0
RISK-0000051,LG-000005,2021-12-30,0.09,9,LOW,14,Legal Resolution,v1.2.0
RISK-0000052,LG-000005,2022-01-29,0.21,21,LOW,21,Legal Resolution,v1.2.0
RISK-0000053,LG-000005,2022-02-28,0.23,23,LOW,11,Legal Resolution,v1.2.0
RISK-0000054,LG-000005,2022-03-30,0.11,11,LOW,28,Legal Resolution,v1.2.0
RISK-0000055,LG-000005,2022-04-29,0.12,12,LOW,24,Legal Resolution,v1.2.0
RISK-0000056,LG-000005,2022-05-29,0.11,11,LOW,13,Legal Resolution,v1.2.0
RISK-0000057,LG-000005,2022-06-28,0.23,23,LOW,29,Legal Resolution,v1.2.0
RISK-0000058,LG-000005,2022-07-28,0.08,8,LOW,26,Legal Resolution,v1.2.0
RISK-0000059,LG-000005,2022-08-27,0.1,10,LOW,16,Legal Resolution,v1.2.0
RISK-0000060,LG-000005,2022-09-26,0.11,11,LOW,9,Legal Resolution,v1.2.0
RISK-0000061,LG-000005,2022-10-26,0.12,12,LOW,5,Legal Resolution,v1.2.0
RISK-0000062,LG-000005,2022-11-25,0.17,17,LOW,29,Legal Resolution,v1.2.0
RISK-0000063,LG-000005,2022-12-25,0.14,14,LOW,11,Legal Resolution,v1.2.0
RISK-0000064,LG-000005,2023-01-24,0.23,23,LOW,28,Legal Resolution,v1.2.0
RISK-0000065,LG-000005,2023-02-23,0.16,16,LOW,27,Legal Resolution,v1.2.0
RISK-0000066,LG-000006,2018-09-21,0.63,63,HIGH,180,R&R,v1.2.0
RISK-0000067,LG-000006,2018-10-21,0.61,61,HIGH,150,R&R,v1.2.0
RISK-0000068,LG-000006,2018-11-20,0.62,62,HIGH,198,R&R,v1.2.0
RISK-0000069,LG-000006,2018-12-20,0.61,61,HIGH,223,R&R,v1.2.0
RISK-0000070,LG-000006,2019-01-19,0.66,66,HIGH,248,R&R,v1.2.0
RISK-0000071,LG-000006,2019-02-18,0.67,67,HIGH,199,R&R,v1.2.0
RISK-0000072,LG-000006,2019-03-20,0.67,67,HIGH,150,R&R,v1.2.0
RISK-0000073,LG-000006,2019-04-19,0.68,68,HIGH,195,R&R,v1.2.0
RISK-0000074,LG-000006,2019-05-19,0.66,66,HIGH,277,R&R,v1.2.0
RISK-0000075,LG-000006,2019-06-18,0.66,66,HIGH,176,R&R,v1.2.0
RISK-0000076,LG-000006,2019-07-18,0.67,67,HIGH,242,R&R,v1.2.0
RISK-0000077,LG-000006,2019-08-17,0.67,67,HIGH,236,R&R,v1.2.0
RISK-0000078,LG-000006,2019-09-16,0.72,72,HIGH,275,R&R,v1.2.0
RISK-0000079,LG-000006,2019-10-16,0.7,70,HIGH,226,R&R,v1.2.0
RISK-0000080,LG-000006,2019-11-15,0.74,74,HIGH,260,R&R,v1.2.0
RISK-0000081,LG-000006,2019-12-15,0.73,73,HIGH,257,R&R,v1.2.0
RISK-0000082,LG-000007,2023-06-03,0.61,61,HIGH,196,R&R,v1.2.0
RISK-0000083,LG-000007,2023-07-03,0.61,61,HIGH,264,R&R,v1.2.0
RISK-0000084,LG-000007,2023-08-02,0.61,61,HIGH,265,R&R,v1.2.0
RISK-0000085,LG-000007,2023-09-01,0.66,66,HIGH,219,R&R,v1.2.0
RISK-0000086,LG-000007,2023-10-01,0.66,66,HIGH,258,R&R,v1.2.0
RISK-0000087,LG-000007,2023-10-31,0.64,64,HIGH,218,R&R,v1.2.0
RISK-0000088,LG-000007,2023-11-30,0.68,68,HIGH,155,R&R,v1.2.0
RISK-0000089,LG-000007,2023-12-30,0.69,69,HIGH,140,R&R,v1.2.0
RISK-0000090,LG-000007,2024-01-29,0.68,68,HIGH,208,R&R,v1.2.0
RISK-0000091,LG-000007,2024-02-28,0.65,65,HIGH,145,R&R,v1.2.0
RISK-0000092,LG-000007,2024-03-29,0.69,69,HIGH,179,R&R,v1.2.0
RISK-0000093,LG-000007,2024-04-28,0.72,72,HIGH,139,R&R,v1.2.0
RISK-0000094,LG-000007,2024-05-28,0.69,69,HIGH,274,R&R,v1.2.0
RISK-0000095,LG-000007,2024-06-27,0.74,74,HIGH,277,R&R,v1.2.0
RISK-0000096,LG-000007,2024-07-27,0.73,73,HIGH,221,R&R,v1.2.0
RISK-0000097,LG-000007,2024-08-26,0.76,76,HIGH,203,R&R,v1.2.0
RISK-0000098,LG-000007,2024-09-25,0.7,70,HIGH,189,R&R,v1.2.0
RISK-0000099,LG-000008,2023-07-03,0.61,61,HIGH,193,Possession,v1.2.0
RISK-0000100,LG-000008,2023-08-02,0.61,61,HIGH,167,Possession,v1.2.0
RISK-0000101,LG-000008,2023-09-01,0.61,61,HIGH,235,Possession,v1.2.0
RISK-0000102,LG-000008,2023-10-01,0.64,64,HIGH,133,Possession,v1.2.0
RISK-0000103,LG-000008,2023-10-31,0.67,67,HIGH,211,Possession,v1.2.0
RISK-0000104,LG-000008,2023-11-30,0.62,62,HIGH,244,Possession,v1.2.0
RISK-0000105,LG-000008,2023-12-30,0.63,63,HIGH,169,Possession,v1.2.0
RISK-0000106,LG-000008,2024-01-29,0.69,69,HIGH,218,Possession,v1.2.0
RISK-0000107,LG-000008,2024-02-28,0.68,68,HIGH,249,Possession,v1.2.0
RISK-0000108,LG-000008,2024-03-29,0.7,70,HIGH,246,Possession,v1.2.0
RISK-0000109,LG-000009,2020-01-09,0.15,15,LOW,22,Approval,v1.2.0
RISK-0000110,LG-000009,2020-02-08,0.09,9,LOW,15,Approval,v1.2.0
RISK-0000111,LG-000009,2020-03-09,0.21,21,LOW,16,Approval,v1.2.0
RISK-0000112,LG-000009,2020-04-08,0.18,18,LOW,1,Approval,v1.2.0
RISK-0000113,LG-000009,2020-05-08,0.22,22,LOW,27,Approval,v1.2.0
RISK-0000114,LG-000009,2020-06-07,0.12,12,LOW,11,Approval,v1.2.0
RISK-0000115,LG-000009,2020-07-07,0.12,12,LOW,8,Approval,v1.2.0
RISK-0000116,LG-000010,2019-01-16,0.18,18,LOW,30,Land Identification,v1.2.0
RISK-0000117,LG-000010,2019-02-15,0.11,11,LOW,18,Land Identification,v1.2.0
RISK-0000118,LG-000010,2019-03-17,0.13,13,LOW,26,Land Identification,v1.2.0
RISK-0000119,LG-000010,2019-04-16,0.22,22,LOW,17,Land Identification,v1.2.0
RISK-0000120,LG-000010,2019-05-16,0.16,16,LOW,5,Land Identification,v1.2.0
RISK-0000121,LG-000011,2020-10-07,0.8,80,CRITICAL,518,Land Identification,v1.2.0
RISK-0000122,LG-000011,2020-11-06,0.84,84,CRITICAL,264,Land Identification,v1.2.0
RISK-0000123,LG-000011,2020-12-06,0.82,82,CRITICAL,348,Land Identification,v1.2.0
RISK-0000124,LG-000011,2021-01-05,0.88,88,CRITICAL,352,Land Identification,v1.2.0
RISK-0000125,LG-000011,2021-02-04,0.89,89,CRITICAL,279,Land Identification,v1.2.0
RISK-0000126,LG-000011,2021-03-06,0.85,85,CRITICAL,266,Land Identification,v1.2.0
RISK-0000127,LG-000011,2021-04-05,0.88,88,CRITICAL,275,Land Identification,v1.2.0
RISK-0000128,LG-000011,2021-05-05,0.88,88,CRITICAL,351,Land Identification,v1.2.0
