stakeholder_id,project_id,stakeholder_type,stakeholder_name,engagement_level,sentiment,requests_received,requests_resolved,pending_requests,response_time_days
STK-0000001,LG-000001,Local Authority,Stakeholder Group 1 (Ananthapuramu),High,Positive,39,33,6,24
STK-0000002,LG-000001,Contractor,Stakeholder Group 2 (Ananthapuramu),High,Positive,19,16,3,12
STK-0000003,LG-000001,Contractor,Stakeholder Group 3 (Ananthapuramu),High,Positive,22,18,4,20
STK-0000004,LG-000001,Contractor,Stakeholder Group 4 (Ananthapuramu),High,Positive,6,5,1,15
STK-0000005,LG-000001,Contractor,Stakeholder Group 5 (Ananthapuramu),High,Positive,47,39,8,10
STK-0000006,LG-000001,Village Administration,Stakeholder Group 6 (Ananthapuramu),High,Positive,34,28,6,24
STK-0000007,LG-000002,District Administration,Stakeholder Group 1 (Annamayya),Low,Negative,15,6,9,65
STK-0000008,LG-000002,Local Authority,Stakeholder Group 2 (Annamayya),Low,Negative,5,2,3,56
STK-0000009,LG-000002,Village Administration,Stakeholder Group 3 (Annamayya),Low,Negative,10,4,6,83
STK-0000010,LG-000002,Contractor,Stakeholder Group 4 (Annamayya),Low,Negative,12,4,8,90
STK-0000011,LG-000002,Village Administration,Stakeholder Group 5 (Annamayya),Low,Negative,12,4,8,61
STK-0000012,LG-000002,District Administration,Stakeholder Group 6 (Annamayya),Low,Negative,50,20,30,62
STK-0000013,LG-000002,District Administration,Stakeholder Group 7 (Annamayya),Low,Negative,50,20,30,56
STK-0000014,LG-000002,Contractor,Stakeholder Group 8 (Annamayya),Low,Negative,35,14,21,45
STK-0000015,LG-000003,District Administration,Stakeholder Group 1 (Alluri Sitharama Raju),High,Positive,42,35,7,5
STK-0000016,LG-000003,District Administration,Stakeholder Group 2 (Alluri Sitharama Raju),High,Positive,16,13,3,6
STK-0000017,LG-000003,Contractor,Stakeholder Group 3 (Alluri Sitharama Raju),High,Positive,13,11,2,21
STK-0000018,LG-000003,Landowner,Stakeholder Group 4 (Alluri Sitharama Raju),High,Positive,12,10,2,20
STK-0000019,LG-000004,Landowner,Stakeholder Group 1 (Anakapalli),Low,Negative,38,15,23,72
STK-0000020,LG-000004,Local Authority,Stakeholder Group 2 (Anakapalli),Low,Negative,26,10,16,38
STK-0000021,LG-000004,Contractor,Stakeholder Group 3 (Anakapalli),Low,Negative,43,17,26,39
STK-0000022,LG-000004,Village Administration,Stakeholder Group 4 (Anakapalli),Low,Negative,15,6,9,83
STK-0000023,LG-000004,Local Authority,Stakeholder Group 5 (Anakapalli),Low,Negative,49,19,30,81
STK-0000024,LG-000004,Contractor,Stakeholder Group 6 (Anakapalli),Low,Negative,15,6,9,32
STK-0000025,LG-000004,District Administration,Stakeholder Group 7 (Anakapalli),Low,Negative,31,12,19,73
STK-0000026,LG-000005,Contractor,Stakeholder Group 1 (Bapatla),High,Positive,50,42,8,7
STK-0000027,LG-000005,District Administration,Stakeholder Group 2 (Bapatla),High,Positive,48,40,8,16
STK-0000028,LG-000005,Landowner,Stakeholder Group 3 (Bapatla),High,Positive,50,42,8,22
STK-0000029,LG-000005,District Administration,Stakeholder Group 4 (Bapatla),High,Positive,39,33,6,14
STK-0000030,LG-000006,Landowner,Stakeholder Group 1 (Chittoor),Low,Negative,23,9,14,30
STK-0000031,LG-000006,Local Authority,Stakeholder Group 2 (Chittoor),Low,Negative,24,9,15,68
STK-0000032,LG-000006,District Administration,Stakeholder Group 3 (Chittoor),Low,Negative,11,4,7,48
STK-0000033,LG-000006,Local Authority,Stakeholder Group 4 (Chittoor),Low,Negative,34,13,21,63
